文件名,鱼类名称,拉丁学名,英文名,科属,原产地,成年体长,适宜水温,适宜pH值,适宜硬度,光照要求,换水频率,食物习性,饲养难度,混养建议,繁殖方式,特殊要求,数据来源,提取状态,信息完整度,水质要求,活动水层,性格特点,疾病预防,寿命年限,最小鱼缸,类型
三线短鲷（雌）.jpg,三线短鲷（雌）,[待补充] 三线短鲷（雌）,三线短鲷（雌） (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,6.8-7.6,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
两点短鲷.jpg,两点短鲷,[待补充] 两点短鲷,两点短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
三角鲷.jpg,三角鲷,[待补充] 三角鲷,三角鲷 (待翻译),慈鲷科,南美洲,,26-28℃,6.0-7.5,5-15 dGH,中等光照,每周1/3,杂食偏肉食,中等,适合与温和鱼混养,平板繁殖,,百度搜索 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,100升,热带鱼
两线短鲷.jpg,两线短鲷,[待补充] 两线短鲷,两线短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
丽丽鱼.jpg,丽丽鱼,[待补充] 丽丽鱼,丽丽鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
两点短鲷（雌）.jpg,两点短鲷（雌）,[待补充] 两点短鲷（雌）,两点短鲷（雌） (待翻译),慈鲷科,南美洲亚马逊流域,,25-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
云石神仙.jpg,云石神仙,[待补充] 云石神仙,云石神仙 (待翻译),慈鲷科,南美洲,,24-30℃,6.0-7.5,5-15 dGH,中等光照,每周1/3,杂食偏肉食,中等,可与温和鱼混养，提供足够空间,平板繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,5-10年,100升,
五彩琴尾鱼.jpg,五彩琴尾鱼,[待补充] 五彩琴尾鱼,五彩琴尾鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
九间波萝.jpg,九间波萝,[待补充] 九间波萝,九间波萝 (待翻译),脂鲤科,南美洲,,24-28℃,7.0-8.0,5-12 dGH,中等偏暗,每周1/3,吃动物性活饵料,较难,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
九间鲨.jpg,九间鲨,[待补充] 九间鲨,九间鲨 (待翻译),脂鲤科,南美洲,,23-27℃,8.1-8.4,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,较易 ,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
五点铅笔.jpg,五点铅笔,[待补充] 五点铅笔,五点铅笔 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
五间鱼.jpg,五间鱼,[待补充] 五间鱼,五间鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
仙女鲶.jpg,仙女鲶,[待补充] 仙女鲶,仙女鲶 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,底层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
倒吊九间.jpg,倒吊九间,[待补充] 倒吊九间,倒吊九间 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
倒游鲶.jpg,倒游鲶,[待补充] 倒游鲶,倒游鲶 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,底层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
假美国九间.jpg,假美国九间,[待补充] 假美国九间,假美国九间 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
公主灯.jpg,公主灯,[待补充] 公主灯,公主灯 (待翻译),脂鲤科,南美洲,,20-25℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,人工饲料、活性饵料 ,容易,适合群养，可与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
六间短鲷.jpg,六间短鲷,[待补充] 六间短鲷,六间短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,26-28℃,4-7.5,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,偏好弱酸性软水,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
凤尾短鲷（红尾型）.jpg,凤尾短鲷（红尾型）,[待补充] 凤尾短鲷（红尾型）,凤尾短鲷（红尾型） (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,6.5-7.5,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
刚果扯旗鱼.jpg,刚果扯旗鱼,[待补充] 刚果扯旗鱼,刚果扯旗鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
南美牙鱼.jpg,南美牙鱼,[待补充] 南美牙鱼,南美牙鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
印第安短鲷.jpg,印第安短鲷,[待补充] 印第安短鲷,印第安短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
凯特短鲷.jpg,凯特短鲷,[待补充] 凯特短鲷,凯特短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-26℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
双带短鲷.jpg,双带短鲷,[待补充] 双带短鲷,双带短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
印尼斗鱼.jpg,印尼斗鱼,[待补充] 印尼斗鱼,印尼斗鱼 (待翻译),丝足鲈科,东南亚,,20-28℃,6.8-7.,5-15 dGH,中等光照,每周1/3,肉食性，专用饲料,容易,建议单养或与大型凶猛鱼混养,泡巢繁殖,雄鱼需要单独饲养,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,凶猛，有攻击性,保持水质稳定，定期检疫，避免过度喂食,2-3年,20升,热带鱼
变色鱼.jpg,变色鱼,[待补充] 变色鱼,变色鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
古战舰.jpg,古战舰,[待补充] 古战舰,古战舰 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
印第安鱼.jpg,印第安鱼,[待补充] 印第安鱼,印第安鱼 (待翻译),脂鲤科,南美洲,,22-28℃,6.0-8.0,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,中性水质,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
叶形鱼.jpg,叶形鱼,[待补充] 叶形鱼,叶形鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
吻嘴鱼.jpg,吻嘴鱼,[待补充] 吻嘴鱼,吻嘴鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
咖啡燕子.jpg,咖啡燕子,[待补充] 咖啡燕子,咖啡燕子 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,上层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
喷点珍珠虎.jpg,喷点珍珠虎,[待补充] 喷点珍珠虎,喷点珍珠虎 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,建议单养或与大型凶猛鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,凶猛，有攻击性,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
国王短鲷.jpg,国王短鲷,[待补充] 国王短鲷,国王短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
地图鱼.jpg,地图鱼,[待补充] 地图鱼,地图鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
埃及神仙鱼.jpg,埃及神仙鱼,[待补充] 埃及神仙鱼,埃及神仙鱼 (待翻译),慈鲷科,南美洲,,24-30℃,6.0-7.5,5-15 dGH,中等光照,每周1/3,杂食偏肉食,中等,可与温和鱼混养，提供足够空间,平板繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,5-10年,100升,
喷点棋盘短鲷.jpg,喷点棋盘短鲷,[待补充] 喷点棋盘短鲷,喷点棋盘短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-26℃,4-7.5,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度搜索 + 智能增强,增强完成,100.00%,偏好弱酸性软水,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,热带鱼
大点鲫.jpg,大点鲫,[待补充] 大点鲫,大点鲫 (待翻译),鲤科,中国,,18-24℃,7.0-7.5,8-12 dGH,中等光照,每周1/3-1/2,杂食性，专用金鱼饲料,容易,适合与温和鱼混养,卵生,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,50升,
国王豹鼠.jpg,国王豹鼠,[待补充] 国王豹鼠,国王豹鼠 (待翻译),甲鲶科,南美洲,,22-26℃,6.5-7.5,5-15 dGH,中等光照,每周1/4,底栖杂食，沉底饲料,容易,建议单养或与大型凶猛鱼混养,卵生,,百度搜索 + 智能增强,增强完成,100.00%,,底层,凶猛，有攻击性,保持水质稳定，定期检疫，避免过度喂食,3-5年,40升,热带鱼
天使.jpg,天使,[待补充] 天使,天使 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
太空飞鼠.jpg,太空飞鼠,[待补充] 太空飞鼠,太空飞鼠 (待翻译),甲鲶科,南美洲,,22-26℃,6.5-7.5,5-15 dGH,中等光照,每周1/4,底栖杂食，沉底饲料,容易,适合群养，可与温和鱼混养,卵生,,百度百科 + 智能增强,增强完成,100.00%,,底层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,40升,
大暴牙.jpg,大暴牙,[待补充] 大暴牙,大暴牙 (待翻译),脂鲤科,南美洲,,24-26℃,7-8.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
大银斧燕子.jpg,大银斧燕子,[待补充] 大银斧燕子,大银斧燕子 (待翻译),脂鲤科,南美洲,,24-28℃,6.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,中性水质,上层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
女王短鲷.jpg,女王短鲷,[待补充] 女王短鲷,女王短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
头尾灯.jpg,头尾灯,[待补充] 头尾灯,头尾灯 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合群养，可与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
宝莲灯.jpg,宝莲灯,[待补充] 宝莲灯,宝莲灯 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合群养，可与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
孔雀鱼.jpg,孔雀鱼,[待补充] 孔雀鱼,孔雀鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合群养，可与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
安氏栉盖鱼.jpg,安氏栉盖鱼,[待补充] 安氏栉盖鱼,安氏栉盖鱼 (待翻译),脂鲤科,南美洲,,22-28℃,7.2-8.0,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
射水鱼.jpg,射水鱼,[待补充] 射水鱼,射水鱼 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
宽背大企鹅.jpg,宽背大企鹅,[待补充] 宽背大企鹅,宽背大企鹅 (待翻译),脂鲤科,南美洲,,26-30℃,7-8.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,热带鱼
宝贝鼠.jpg,宝贝鼠,[待补充] 宝贝鼠,宝贝鼠 (待翻译),甲鲶科,南美洲,,24-26℃,6.0-7.5,2-12 dGH,中等偏暗,每周1/3,饵料以小型活食为主,容易,适合群养，可与温和鱼混养,卵生,,百度搜索 + 智能增强,增强完成,100.00%,偏好弱碱性硬水,底层,温和，群居,保持水质稳定，定期检疫，避免过度喂食,3-5年,40升,热带鱼
小丑短鲷.jpg,小丑短鲷,[待补充] 小丑短鲷,小丑短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
小精灵.jpg,小精灵,[待补充] 小精灵,小精灵 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
彩虹鲨.jpg,彩虹鲨,[待补充] 彩虹鲨,彩虹鲨 (待翻译),脂鲤科,南美洲,,22-26℃,5.5-7.5,5-12 dGH,中等偏暗,每周1/3,小型颗粒、薄片、丰年虾,容易,适合与温和鱼混养,散卵繁殖,,百度百科 + 智能增强,增强完成,100.00%,,中层,温和,保持水质稳定，定期检疫，避免过度喂食,3-5年,30升,
彩面短鲷.jpg,彩面短鲷,[待补充] 彩面短鲷,彩面短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
彩鳍短鲷.jpg,彩鳍短鲷,[待补充] 彩鳍短鲷,彩鳍短鲷 (待翻译),慈鲷科,南美洲亚马逊流域,,24-28℃,5.5-7.0,3-10 dGH,中等光照,每周1/4,小型活饵、颗粒饲料,中等,可与温和鱼混养，提供足够空间,洞穴繁殖,需要稳定水质，避免剧烈变化,百度百科 + 智能增强,增强完成,100.00%,,中层,温和，有领地意识,保持水质稳定，定期检疫，避免过度喂食,2-4年,40升,
